,audio,brightness,capture,color,idle,off,on,routine,setpoint,volume,watch
audio,50,0,12,0,0,4,0,0,0,10,14
brightness,0,97,0,32,3,14,8,0,0,0,0
capture,19,0,60,0,0,0,0,0,0,0,2
color,0,71,0,56,1,13,4,0,0,0,0
idle,4,0,0,0,15,6,3,3,0,3,4
off,5,13,0,25,1,127,84,0,3,1,0
on,0,9,1,21,1,83,97,0,2,5,0
routine,0,0,0,0,5,3,3,1,0,0,0
setpoint,0,0,0,0,0,6,0,0,21,0,0
volume,3,0,1,0,0,9,0,0,0,21,0
watch,9,1,2,0,3,5,0,0,0,0,81
