,audio,brightness,capture,color,idle,off,on,routine,setpoint,volume,watch
audio,61,0,14,1,0,1,0,0,0,5,8
brightness,0,55,0,83,1,13,2,0,0,0,0
capture,24,0,55,0,0,1,0,0,0,0,1
color,0,41,0,84,0,18,2,0,0,0,0
idle,0,0,0,0,23,4,2,3,0,2,4
off,6,1,0,39,1,137,74,0,0,0,0
on,0,0,0,31,1,88,92,0,2,4,1
routine,0,0,0,1,8,0,0,3,0,0,0
setpoint,0,0,0,0,0,9,2,0,16,0,0
volume,5,0,1,0,1,9,0,0,0,18,0
watch,20,0,1,0,2,1,0,0,0,0,77
