,audio,brightness,capture,color,idle,off,on,routine,setpoint,volume,watch
audio,48,0,26,0,0,2,1,0,0,1,11
brightness,0,57,0,75,0,17,5,0,0,0,0
capture,10,0,66,0,0,0,0,0,0,0,6
color,0,42,0,61,0,34,7,0,0,0,0
idle,0,0,0,0,24,3,4,1,0,3,2
off,9,9,0,19,2,143,67,0,0,9,1
on,1,3,0,10,5,92,104,0,2,2,0
routine,0,1,0,1,9,1,1,0,0,0,0
setpoint,0,0,0,0,0,2,2,0,24,0,0
volume,4,0,0,0,3,4,4,0,0,19,0
watch,12,0,2,0,7,1,0,1,0,0,78
