,audio,brightness,capture,color,idle,off,on,routine,setpoint,volume,watch
audio,43,0,24,0,3,1,0,0,0,6,13
brightness,0,83,0,50,0,11,10,0,0,0,0
capture,9,0,70,0,0,0,0,0,0,0,2
color,0,80,0,53,0,6,6,0,0,0,0
idle,1,1,1,0,19,2,5,0,0,3,5
off,5,22,0,16,0,126,81,0,3,5,1
on,0,14,0,21,0,83,95,0,1,5,0
routine,0,2,0,0,7,2,0,1,0,1,0
setpoint,0,0,0,1,0,4,0,0,22,0,0
volume,2,0,0,0,2,3,0,0,0,27,0
watch,13,0,3,0,6,1,0,0,0,0,78
