,appliance,bulb,camera,hub,light_strip,plug,sensor,smart_display,smart_door,smart_speaker
appliance,5,0,0,0,0,0,0,1,0,0
bulb,0,392,0,0,0,0,0,0,0,0
camera,0,0,157,1,0,0,0,2,0,1
hub,0,0,0,105,0,0,1,1,0,0
light_strip,0,0,0,0,166,0,0,0,0,0
plug,0,0,0,0,0,70,1,1,0,0
sensor,0,2,0,0,0,0,36,0,0,0
smart_display,0,0,1,0,0,1,0,63,0,0
smart_door,0,0,0,0,1,0,0,0,144,1
smart_speaker,0,0,1,1,0,0,0,0,0,5
